4. EDUCAÇÃO;;;;;;
4.1 Órgão gestor da educação e perfil do gestor;;;;;;
4.2 Medidas, ações e projetos;;;;;;
4.3 Plano municipal de educação e Fórum Permanente de Educação;;;;;;
4.4 Plano de Carreira para o Magistério e para não docentes, vencimento básico inicial dos(as) professores(as) com jornada de trabalho de 40 horas semanais;;;;;;
4.5 Conselhos municipais da área de educação;;;;;;
4.6 Recursos financeiros;;;;;;
4.7 Diretores das escolas da rede municipal de ensino;;;;;;
4.8 Levantamento de demanda da população em idade escolar;;;;;;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
;;;;;;
4. EDUCAÇÃO;;;;;;
4.1 Órgão gestor da educação e perfil do gestor;;;;;;
Caracterização do órgão gestor ;;;;;MEDU01;
Sexo do(a) titular do órgão gestor;;;;;MEDU03;
Idade do(a) titular do órgão gestor;;;;;MEDU04;
Cor/raça do(a) titular do órgão gestor;;;;;MEDU05;
;Foi respondido pelo próprio titular do órgão gestor;;;;MEDU051;
Escolaridade do(a) titular do órgão gestor;;;;;MEDU06;
;Formação de nível superior;;;;MEDU07;
;;Especifique;;;MEDU07111;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
;;;;;;
4.2 Medidas, ações e projetos;;;;;;
Até 3 (três) temas prioritários para os quais o órgão gestor da educação esteja adotando medidas ou ações:;;;;;;
;Melhoria das condições físicas de acessibilidade nas escolas;;;;MEDU111;
;Criação/manutenção de salas de recursos multifuncionais;;;;MEDU112;
;Inclusão de alunos com deficiência nas escolas regulares;;;;MEDU113;
;Combate à violência nas escolas;;;;MEDU114;
;Constituição e manutenção de conselhos escolares;;;;MEDU115;
;Integração escola-comunidade (abertura das escolas à comunidade, uso de espaços coletivos para ações rotineiras da escola, entre outras ações);;;;MEDU116;
;Formação inicial de docentes e formação complementar para adequação entre formação de nível superior e as disciplinas que lecionam;;;;MEDU117;
;"Constituição e manutenção de grêmios estudantis
e/ou associações de pais";;;;MEDU118;
;Redução de falta/ausência dos docentes;;;;MEDU119;
;Formação continuada para professores;;;;MEDU1110;
;Adequação entre a idade dos alunos em relação à série/etapa em que estudam (enfrentamento do atraso escolar);;;;MEDU1111;
;Alfabetização na idade certa;;;;MEDU1112;
;Elevação do desempenho dos alunos nas avaliações nacionais de larga escala;;;;MEDU1113;
;Diminuição no abandono e evasão escolar (busca ativa de alunos);;;;MEDU1114;
;Chamamento público para matrícula;;;;MEDU1115;
;Ampliação da jornada escolar;;;;MEDU1116;
;Uso de Tecnologias de Informação e Comunicação (TIC) no processo ensino-aprendizagem;;;;MEDU1117;
;Combate ao bulliyng;;;;MEDU1118;
;Nenhum dos itens citados;;;;MEDU1119;
;;;;;;
Órgão gestor da educação adota medidas para o combate a:;;;;;;
;Discriminação racial;;;;MEDU121;
;Discriminação religiosa;;;;MEDU122;
;Homofobia;;;;MEDU123;
;Outros tipos de discriminação;;;;MEDU124;
;Nenhum dos itens citados;;;;MEDU125;
;;;;;;
Órgão gestor da educação possui:;;;;;;
;Projetos voltados para a educação no campo;;;;MEDU131;
;Projetos voltados para a educação de povos indígenas;;;;MEDU132;
;Projetos voltados para a educação de comunidades quilombolas;;;;MEDU133;
;Projetos voltados para a educação de outros povos e comunidades tradicionais;;;;MEDU134;
;Nenhum dos itens citados;;;;MEDU135;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
;;;;;;
4.3 Plano municipal de educação e Fórum Permanente de Educação;;;;;;
Plano Municipal de Educação - existência;;;;;MEDU14;
;Lei do atual PEE;;;;MEDU141A;
;Ano do atual PEE;;;;MEDU141B;
;;;;;;
Instituiu/constituiu Fórum Permanente de Educação;;;;;MEDU15;
;Em que ano;;;;MEDU151;
;Por meio de que instrumento;;;;MEDU152;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
(*) Não soube informar - sabe que existe, mas não soube informar. ;;;;;;
;;;;;;
4.4 Plano de Carreira para o Magistério e para não docentes, vencimento básico inicial dos(as) professores(as) com jornada de trabalho de 40 horas semanais;;;;;;
Plano de Carreira para o Magistério - existência;;;;;MEDU16;
;Lei de criação;;;;MEDU161A;
;Ano de criação;;;;MEDU161b;
;Critérios de progressão/promoção/ascensão são utilizados no plano de carreira do magistério:;;;;;
;;Tempo de efetivo exercício no cargo;;;MEDU171;
;;Avaliação de desempenho;;;MEDU172;
;;Qualificação ou titulação;;;MEDU173;
;;;Licenciatura;;MEDU1731;
;;;Cursos de atualização/aperfeiçoamento com carga horária inferior a 360 horas;;MEDU1732;
;;;Especialização com carga horária mínima de 360 horas;;MEDU1733;
;;;Mestrado;;MEDU1734;
;;;Doutorado;;MEDU1735;
;;Desempenho em prova de conhecimentos na área curricular de atuação docente e de conhecimentos pedagógicos;;;MEDU174;
;;Desempenho dos alunos em avaliação externa;;;MEDU175;
;;Incorporação permanente de remuneração por ocupação de cargo em comissão;;;MEDU176;
;;Outros;;;MEDU177;
;Lei do Plano de Carreira prevê expressamente o limite de 2/3 (dois terços) da carga horária para o desempenho das atividades de interação com os educandos;;;;MEDU18;
;;;;;;
Todos(as) os(as) professores(as) com jornada de trabalho de 40 horas semanais, possuem o vencimento básico inicial igual ou superior a R$ 2.886,24 mensais;;;;;MEDU20a;
;;;;;;
Plano de Carreira vigente para os profissionais da educação não docentes;;;;;MEDU21;
;Lei de criação;;;;MEDU211A;
;Ano de criação;;;;MEDU211B;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
(*) Não soube informar - sabe que existe, mas não soube informar. ;;;;;;
;;;;;;
4.5 Conselhos municipais da área de educação;;;;;;
Conselho de Educação - existência;;;;;MEDU22;
;Lei de criação;;;;MEDU221A;
;Ano de criação;;;;MEDU221b;
;O Conselho está;;;;MEDU221c;
;Formação;;;;MEDU222;
;Caráter;;;;;
;;Consultivo;;;MEDU231;
;;Deliberativo;;;MEDU232;
;;Normativo;;;MEDU233;
;;Fiscalizador;;;MEDU234;
;Quantidade de reuniões nos últimos 12 meses;;;;MEDU24;
;Número de conselheiros (titulares e suplentes);;;;MEDU25;
;Realiza capacitação para os membros:;;;;;
;;Periodicamente;;;MEDU261;
;;Ocasionalmente;;;MEDU262;
;;Não realiza;;;MEDU263;
;Nos últimos dois anos o município realizou capacitação para os membros do Conselho;;;;MEDU26a;
;Disponibiliza infraestrutura para o funcionamento;;;;MEDU27;
;;Sala própria;;;MEDU2711;
;;Computador;;;MEDU2712;
;;Impressora;;;MEDU2713;
;;Acesso à internet;;;MEDU2714;
;;Veículo próprio;;;MEDU2715;
;;Telefone;;;MEDU2716;
;;Diárias;;;MEDU2717;
;;Dotação orçamentária própria;;;MEDU2718;
;;Transporte/Locomoção;;;MEDU2719;
;Composição do Conselho:;;;;;
;;Representante de pais e alunos;;;MEDU281;
;;Representante da Câmara Municipal;;;MEDU282;
;;Representante dos diretores das escolas da rede municipal de ensino;;;MEDU283;
;;Representante dos servidores das escolas da rede municipal de ensino;;;MEDU284;
;;Representante do Conselho de Direitos da Criança e do Adolescente e/ou Conselho Tutelar;;;MEDU285;
;;Representante das escolas da rede privada;;;MEDU286;
;;Representante de instituição de ensino superior;;;MEDU287;
;;Representante de sindicato/associação de profissionais da educação;;;MEDU288;
;;Representante do poder executivo/secretaria de educação;;;MEDU289;
;;Representante do movimento negro;;;MEDU2810;
;;Representante de comunidades quilombolas;;;MEDU2811;
;;Representante de povos indígenas;;;MEDU2812;
;;Representante de outros povos e comunidades tradicionais;;;MEDU2813;
;;Outros;;;MEDU2814;
;Função do gestor da educação no Conselho Municipal de Educação;;;;MEDU29;
;;;;;;
Conselho de controle e acompanhamento social do FUNDEB - existência;;;;;MEDU30;
;Lei de criação;;;;MEDU301a;
;Ano de criação;;;;MEDU301b;
;O Conselho está;;;;MEDU301c;
;Formação;;;;MEDU302;
;Quantidade de reuniões nos últimos 12 meses ;;;;MEDU31;
;Número de conselheiros (titulares e suplentes);;;;MEDU32;
;Realiza capacitação para os membros:;;;;;
;;Periodicamente;;;MEDU331;
;;Ocasionalmente;;;MEDU332;
;;Não realiza;;;MEDU333;
;Nos últimos dois anos o município realizou capacitação para os membros do Conselho;;;;MEDU33a;
;Disponibiliza infraestrutura para o funcionamento;;;;MEDU34;
;;Sala própria;;;MEDU3411;
;;Computador;;;MEDU3412;
;;Impressora;;;MEDU3413;
;;Acesso à internet;;;MEDU3414;
;;Veículo próprio;;;MEDU3415;
;;Telefone;;;MEDU3416;
;;Diárias;;;MEDU3417;
;;Dotação orçamentária própria;;;MEDU3418;
;;Transporte/Locomoção;;;MEDU3419;
;;;;;;
Conselho de alimentação escolar - existência;;;;;MEDU35;
;Lei de criação;;;;MEDU351a;
;Ano de criação;;;;MEDU351b;
;O Conselho está;;;;MEDU351c;
;Formação;;;;MEDU352;
;Caráter:;;;;;
;;Consultivo;;;MEDU361;
;;Deliberativo;;;MEDU362;
;;Normativo;;;MEDU363;
;;Fiscalizador;;;MEDU364;
;Quantidade de reuniões nos últimos 12 meses;;;;MEDU37;
;Número de conselheiros (titulares e suplentes);;;;MEDU38;
;Realiza capacitação para os membros:;;;;;
;;Periodicamente;;;MEDU391;
;;Ocasionalmente;;;MEDU392;
;;Não realiza;;;MEDU393;
;Nos últimos dois anos o município realizou capacitação para os membros do Conselho;;;;MEDU39a;
;Disponibiliza infraestrutura para o funcionamento;;;;MEDU40;
;;Sala própria;;;MEDU4011;
;;Computador;;;MEDU4012;
;;Impressora;;;MEDU4013;
;;Acesso à internet;;;MEDU4014;
;;Veículo próprio;;;MEDU4015;
;;Telefone;;;MEDU4016;
;;Diárias;;;MEDU4017;
;;Dotação orçamentária própria;;;MEDU4018;
;;Transporte/Locomoção;;;MEDU4019;
;;;;;;
Conselho de transporte escolar - existência;;;;;MEDU41;
;Lei de criação;;;;MEDU411a;
;Ano de criação;;;;MEDU411b;
;O Conselho está;;;;MEDU411c;
;Formação;;;;MEDU412;
;Caráter:;;;;;
;;Consultivo;;;MEDU421;
;;Deliberativo;;;MEDU422;
;;Normativo;;;MEDU423;
;;Fiscalizador;;;MEDU424;
;Quantidade de reuniões nos últimos 12 meses;;;;MEDU43;
;Número de conselheiros (titulares e suplentes);;;;MEDU44;
;Realiza capacitação para os membros:;;;;;
;;Periodicamente;;;MEDU451;
;;Ocasionalmente;;;MEDU452;
;;Não realiza;;;MEDU453;
;Nos últimos dois anos o município realizou capacitação para os membros do Conselho;;;;MEDU45a;
;Disponibiliza infraestrutura para o funcionamento;;;;MEDU46;
;;Sala própria;;;MEDU4611;
;;Computador;;;MEDU4612;
;;Impressora;;;MEDU4613;
;;Acesso à internet;;;MEDU4614;
;;Veículo próprio;;;MEDU4615;
;;Telefone;;;MEDU4616;
;;Diárias;;;MEDU4617;
;;Dotação orçamentária própria;;;MEDU4618;
;;Transporte/Locomoção;;;MEDU4619;
;;;;;;
Lei municipal que estabelece a criação de conselhos escolares;;;;;MEDU47;
;Lei ;;;;MEDU471A;
;Ano;;;;MEDU471B;
;Formação dos conselhos;;;;MEDU472;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
(*) Não soube informar - sabe que existe, mas não soube informar. ;;;;;;
;;;;;;
4.6 Recursos financeiros;;;;;;
A ordenação de despesas da educação está sob responsabilidade do;;;;;MEDU48;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
;;;;;;
4.7 Diretores das escolas da rede municipal de ensino;;;;;;
Nomeação ocorre por:;;;;;;
;Concurso Público (para carreira de diretor escolar constituída por cargo público específico de diretor escolar);;;;MEDU491;
;Livre nomeação (para cargo ou função comissionada);;;;MEDU492;
;;Indicação;;;MEDU49211;
;;Eleição;;;MEDU49212;
;;Processo seletivo;;;MEDU49213;
;;Outro;;;MEDU49214;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
;;;;;;
4.8 Levantamento de demanda da população em idade escolar;;;;;;
O município realiza levantamento de demanda da população em idade escolar que não esteja sendo atendida:;;;;;;
;Pré-escola (4 e 5 anos);;;;MEDU501;
;Ensino fundamental (6 a 14);;;;MEDU502;
;Educação de jovens e adultos do ensino fundamental (maiores de 15 anos);;;;MEDU503;
;Não realiza;;;;MEDU504;
;;;;;;
Há no município mecanismos de consulta pública da demanda das famílias por creches;;;;;MEDU51;
;;;;;;
Creche de responsabilidade do poder público municipal - existência;;;;;MEDU52;
;Quantas;;;;MEDU521;
;;Quantas de tempo integral;;;MEDU522;
;;;;;;
Fonte: IBGE, Pesquisa de Informações Básicas Municipais - 2021;;;;;;
Recusa - Foram considerados como recusa os municípios que não responderam a pesquisa até a data de encerramento da coleta.;;;;;;
(*) Não soube informar - sabe que existe, mas não soube informar. ;;;;;;
